standing,discipline,min_outdoors,min_zoom,undergrad,masters,phd,civil,mechanical,electrical,happiness
undergrad,mechanical,218,245,1,0,0,0,1,0,80.97331210164627
undergrad,civil,8,156,1,0,0,1,0,0,62.10560934156729
undergrad,electrical,208,29,1,0,0,0,0,1,15.91983438401762
undergrad,mechanical,211,202,1,0,0,0,1,0,50.082402006580075
undergrad,civil,165,193,1,0,0,1,0,0,34.8994274265769
undergrad,electrical,51,69,1,0,0,0,0,1,62.624866137577115
undergrad,mechanical,63,143,1,0,0,0,1,0,83.6016493626211
undergrad,civil,297,5,1,0,0,1,0,0,74.61562606266075
undergrad,electrical,274,117,1,0,0,0,0,1,43.66250632379976
undergrad,mechanical,255,90,1,0,0,0,1,0,66.44151724381719
undergrad,civil,99,69,1,0,0,1,0,0,69.6781179971508
undergrad,electrical,16,15,1,0,0,0,0,1,39.90584668562003
undergrad,mechanical,188,233,1,0,0,0,1,0,37.73917803853721
undergrad,civil,289,98,1,0,0,1,0,0,81.94236149811451
undergrad,electrical,58,174,1,0,0,0,0,1,44.192711076568216
undergrad,mechanical,133,267,1,0,0,0,1,0,22.634299979851548
undergrad,civil,256,191,1,0,0,1,0,0,71.22711592093634
undergrad,electrical,100,261,1,0,0,0,0,1,54.619201619349056
undergrad,mechanical,153,176,1,0,0,0,1,0,38.56477423829702
undergrad,civil,297,47,1,0,0,1,0,0,65.44904902875385
undergrad,electrical,161,141,1,0,0,0,0,1,28.057032297620253
undergrad,mechanical,270,74,1,0,0,0,1,0,70.10459922322241
undergrad,civil,186,234,1,0,0,1,0,0,60.25626929017113
undergrad,electrical,109,171,1,0,0,0,0,1,41.20659698686545
undergrad,mechanical,15,105,1,0,0,0,1,0,54.144325569800635
undergrad,civil,22,31,1,0,0,1,0,0,54.4258025637603
undergrad,electrical,28,162,1,0,0,0,0,1,41.238481017458774
undergrad,mechanical,210,159,1,0,0,0,1,0,93.96409069755447
undergrad,civil,130,194,1,0,0,1,0,0,76.53568341457185
undergrad,electrical,295,124,1,0,0,0,0,1,35.26500913008004
undergrad,mechanical,188,334,1,0,0,0,1,0,35.274077359217834
undergrad,civil,287,211,1,0,0,1,0,0,66.80907070145767
undergrad,electrical,112,41,1,0,0,0,0,1,55.69662255323452
undergrad,mechanical,72,16,1,0,0,0,1,0,40.598191283887274
undergrad,civil,144,315,1,0,0,1,0,0,66.6893078055088
undergrad,electrical,289,41,1,0,0,0,0,1,60.47083583444584
undergrad,mechanical,4,107,1,0,0,0,1,0,58.8476623768984
undergrad,civil,88,261,1,0,0,1,0,0,15.080039173754564
undergrad,electrical,36,360,1,0,0,0,0,1,21.175353912977734
undergrad,mechanical,221,152,1,0,0,0,1,0,40.10432526767979
undergrad,civil,220,202,1,0,0,1,0,0,53.30217677648758
undergrad,electrical,16,270,1,0,0,0,0,1,35.90827773693418
undergrad,mechanical,248,24,1,0,0,0,1,0,64.02104186858875
undergrad,civil,221,144,1,0,0,1,0,0,54.16201909856931
undergrad,electrical,137,346,1,0,0,0,0,1,49.793350944952934
undergrad,mechanical,244,96,1,0,0,0,1,0,62.2781500275111
undergrad,civil,53,158,1,0,0,1,0,0,54.5021833183377
undergrad,electrical,186,189,1,0,0,0,0,1,55.25770260140243
undergrad,mechanical,2,119,1,0,0,0,1,0,43.88007782927393
undergrad,civil,112,298,1,0,0,1,0,0,34.47465161907665
undergrad,electrical,143,314,1,0,0,0,0,1,43.75112642036871
undergrad,mechanical,51,76,1,0,0,0,1,0,44.53211848094164
undergrad,civil,142,118,1,0,0,1,0,0,63.80356779741602
undergrad,electrical,231,41,1,0,0,0,0,1,63.335301774509716
undergrad,mechanical,145,386,1,0,0,0,1,0,23.46113008647555
undergrad,civil,47,349,1,0,0,1,0,0,61.626852527558505
undergrad,electrical,71,374,1,0,0,0,0,1,26.357788932734174
undergrad,mechanical,222,312,1,0,0,0,1,0,30.467225564898413
undergrad,civil,72,242,1,0,0,1,0,0,54.446773611474704
undergrad,electrical,108,193,1,0,0,0,0,1,65.0967892446921
undergrad,mechanical,237,185,1,0,0,0,1,0,58.59988743779821
undergrad,civil,179,156,1,0,0,1,0,0,84.14089721160224
undergrad,electrical,9,80,1,0,0,0,0,1,63.70519907736806
undergrad,mechanical,208,289,1,0,0,0,1,0,31.363400748670692
undergrad,civil,18,215,1,0,0,1,0,0,29.406531867907884
undergrad,electrical,23,384,1,0,0,0,0,1,24.931367599993422
undergrad,mechanical,167,198,1,0,0,0,1,0,41.57637364491223
undergrad,civil,7,34,1,0,0,1,0,0,57.38477081403457
undergrad,electrical,273,311,1,0,0,0,0,1,50.8139040466772
undergrad,mechanical,197,329,1,0,0,0,1,0,33.58834959787973
undergrad,civil,129,108,1,0,0,1,0,0,92.1093490993621
undergrad,electrical,25,78,1,0,0,0,0,1,66.73150423621455
undergrad,mechanical,63,376,1,0,0,0,1,0,27.466212954737934
undergrad,civil,19,81,1,0,0,1,0,0,55.49283308413504
undergrad,electrical,277,314,1,0,0,0,0,1,36.682661082873985
undergrad,mechanical,233,338,1,0,0,0,1,0,34.651357910811335
